,Open,Close,High,Low
0,16530,16529,16530,16529
1,16529,16528,16529,16528
2,16528,16527,16528,16527
3,16527,16526,16527,16526
4,16526,16525,16526,16525
5,16525,16524,16525,16524
6,16524,16523,16524,16523
7,16523,16522,16523,16522
8,16522,16521,16522,16521
9,16521,16520,16521,16520
10,16520,16519,16520,16519
11,16519,16518,16519,16518
12,16518,16517,16518,16517
13,16517,16516,16517,16516
14,16516,16515,16516,16515
15,16515,16514,16515,16514
16,16514,16513,16514,16513
17,16513,16512,16513,16512
18,16512,16511,16512,16511
19,16511,16510,16511,16510
20,16510,16509,16510,16509
21,16509,16508,16509,16508
22,16508,16507,16508,16507
23,16507,16506,16507,16506
24,16506,16505,16506,16505
25,16505,16504,16505,16504
26,16504,16503,16504,16503
27,16503,16502,16503,16502
28,16502,16501,16502,16501
29,16501,16500,16501,16500
30,16500,16499,16500,16499
31,16499,16498,16499,16498
32,16498,16497,16498,16497
33,16497,16496,16497,16496
34,16496,16495,16496,16495
35,16495,16494,16495,16494
36,16494,16493,16494,16493
37,16493,16492,16493,16492
38,16492,16491,16492,16491
39,16491,16490,16491,16490
40,16490,16489,16490,16489
41,16489,16488,16489,16488
42,16488,16487,16488,16487
43,16487,16486,16487,16486
44,16486,16485,16486,16485
45,16485,16484,16485,16484
46,16484,16483,16484,16483
47,16483,16482,16483,16482
48,16482,16481,16482,16481
49,16481,16480,16481,16480
50,16480,16479,16480,16479
51,16479,16478,16479,16478
52,16478,16477,16478,16477
53,16477,16476,16477,16476
54,16476,16475,16476,16475
55,16475,16477,16477,16475
56,16477,16478,16478,16477
57,16478,16479,16479,16478
58,16479,16477,16479,16477
59,16477,16476,16477,16476
60,16476,16475,16476,16475
61,16475,16474,16475,16474
62,16474,16473,16474,16473
63,16473,16475,16475,16473
64,16475,16476,16476,16475
65,16476,16477,16477,16476
66,16477,16478,16478,16477
67,16478,16479,16479,16478
68,16479,16480,16480,16479
69,16480,16481,16481,16480
70,16481,16482,16482,16481
71,16482,16480,16482,16480
72,16480,16482,16482,16480
73,16482,16483,16483,16482
74,16483,16484,16484,16483
75,16484,16485,16485,16484
76,16485,16483,16485,16483
77,16483,16485,16485,16483
78,16485,16483,16485,16483
79,16483,16482,16483,16482
80,16482,16481,16482,16481
81,16481,16480,16481,16480
82,16480,16479,16480,16479
83,16479,16478,16479,16478
84,16478,16477,16478,16477
85,16477,16476,16477,16476
86,16476,16475,16476,16475
87,16475,16474,16475,16474
88,16474,16476,16476,16474
89,16476,16477,16477,16476
90,16477,16478,16478,16477
91,16478,16479,16479,16478
92,16479,16477,16479,16477
93,16477,16476,16477,16476
94,16476,16475,16476,16475
95,16475,16474,16475,16474
96,16474,16473,16474,16473
97,16473,16472,16473,16472
98,16472,16471,16472,16471
99,16471,16470,16471,16470
100,16470,16472,16472,16470
101,16472,16473,16473,16472
102,16473,16474,16474,16473
103,16474,16475,16475,16474
104,16475,16476,16476,16475
105,16476,16474,16476,16474
106,16474,16473,16474,16473
107,16473,16472,16473,16472
108,16472,16471,16472,16471
109,16471,16470,16471,16470
110,16470,16469,16470,16469
111,16469,16468,16469,16468
112,16468,16467,16468,16467
113,16467,16466,16467,16466
114,16466,16465,16466,16465
115,16465,16464,16465,16464
116,16464,16463,16464,16463
117,16463,16462,16463,16462
